Name,query,POC,Physically Visited? Y/N,status,Last PoC Date,Touchpoint #,Next Visit Date,"Type(A,B,C)",Lead,Type,"Phone (store, cell)",Name of who you talked to,Their position...14,Their email,Decision Maker Name,Their position...17,Decision Maker Email,# of locations,Notes,...21,...22,...23,...24
Delectable egg,"1642 Market St Denver, CO 80202",Eddy,Y,email,26-Oct,2,NA,A,1,fast casual RM,NA,NA,NA,NA,Amy,NA,NA,NA,"Amy is GM and soon to be sole proprietor, loves the idea for the community element and something that heremployees can rally behind / going to expand throughout coloraod",NA,NA,NA,NA
Just BE Kitchen,"2364 15th St, Denver, CO 80202",Eddy,Y,email,26-Oct,2,NA,B,1,Fast casual,(303) 284-6652,Jude,Fixer,jude@justbekitchen.com,Jen,Owner,NA,NA,Jude was hired to fix up the shop and loved the idea and how we work/Following up w email/expanding to boulder,NA,NA,NA,NA
Mob Coffee,"3937 Tennyson St Denver, CO 80212",Eddy,Y,email,24-Oct,2,NA,A,1,cafe,NA,James,employees,NA,Andre & Neva,Founders,mobcoffeedenver@gmail.com,1,"surplus donuts & burritos, no current solution / young couple owners",NA,NA,NA,NA
Hearth,"2500 Lawrence St Denver, CO 80205",Eddy,Y,email,19-Oct,2,NA,A,1,Bakery,NA,Matt,Founder,matt@hearthdenver.com,NA,NA,NA,1,"Matt is Jack's college friend / he is down but has to run it by the baristas / wants me to go to a staff meeting and show the platform / sells to retail locations and has a ""no day old"" clause that prevents them from selling his products the next day /",NA,NA,NA,NA
Brooklyns Finest Pizza,"825 16th St Mall Denver, CO 80202",NA,Y,email,26-Oct,3,NA,A,1,Pizza,(303) 573-3779,Kayla,Manager,NA,CArlo,Owner,brooklynsfinestpizza303@gmail.com (bounced),NA,"Donate? ----- ""We do not... unfortunately"" (revisit in person) Carlo = owner",NA,NA,NA,NA
Parlor Doughnuts,"95 Lincoln St Denver, CO 80203",Eddy,Y,call,24-Oct,3,NA,A,1,donut shop,3038628904,Dan,Employee,NA,Sean,Owner,CO0028@parlordoughnuts.com,1,spoke to sean and john on the phone at length and sounds like they're interested! Running it by their franchise owner and will get back to us,NA,NA,NA,NA
Park Burger RiNo,"2615 Walnut St Denver, CO 80205",Jack,Y,email,19-Oct,2,NA,B,2,fast casual MTO,n/a,marisa,assistant general manager,mfoley@gastamogroup.com,idk,n/a,n/a,1,Have orders that aren't picked up from 3rd party delivery apps,NA,NA,NA,NA
Pandemic Donuts,"2962 Welton St Denver, CO 80205",Eddy,Y,email,23-Oct,3,NA,A,1,donut shop,NA,NA,NA,NA,Michael,owner,michael@pandemicdonuts.com,NA,Michael & wife started pandemic donuts,NA,NA,NA,NA
Ti Cafe,"30 N Broadway Denver, CO 80203",Luke,Y,Email,17-Oct,2,NA,A,1,cafe,NA,Shominic,Employee,NA,NA,Ownder,ti.cafeofficial@gmail.com,NA,"Loves Idea. Owner not there. Sent email, waiting on response.",NA,NA,NA,NA
Bakery Four,"3350 Brighton Blvd Denver, CO 80216",Eddy,Y,instagram,19-Oct,2,NA,A,1,Bakery,NA,Shawn,Founder,Shawn@bakeryfour.com,NA,NA,NA,1,Shawn is a great guy who knew about TGTG but didn't join bc their marketing was weak / has 30-40 items in surplus everyday / said to DM on instagram / opening another location,NA,NA,NA,NA
Baked N' Denver,"1301 S Broadway Denver, CO 80210",Luke,Y,In Person,18-Oct,2,October 23rd,A,1,Bakery,303.777.9361,Hakim,NA,NA,Hakim or Juan?,NA,donutsdenver@gmail.com,1,"Hakim or Juan (owner) is ready to set up on monday! (11 am) / Wasn't there on monday / Called tuesday: they knew who it was, told me he'll be calling me.",NA,NA,NA,NA
Novo Coffee,"1600 Glenarm Pl Denver, CO 80202",Eddy,Y,email,23-Oct,3,NA,A,1,cafe,NA,Chris,Gilpin manager,gilpin@novocoffee.com,Heather,retail manager,retail@novocoffee.com,4,"4 locations, looking for a solution :) / #4 when calling gilpin",NA,NA,NA,NA
under the umbrella,"3507 E 12th Ave Denver, CO 80206",Eddy,Y,call,25-Oct,3,NA,A,1,bakery,NA,Bekah,manager,NA,Jill,owner,utucafe@gmail.com,1,"talekd to becka, seems interested / jill asked for email",NA,NA,NA,NA
Thump Coffee,"1201 E 13th Ave Denver, CO 80218",Eddy,Y,email,24-Oct,2,NA,A,1,cafe,NA,Paige,employee,NA,Andy,NA,andy@thumpcoffee.com,NA,they have surplus and don't have a solution - the employee was all about it,NA,NA,NA,NA
Vital Root,"3915 Tennyson St Denver, CO 80212",Eddy,Y,email,24-Oct,2,NA,A,1,grab n' go,603-454-4757 (S),Sarah,Assistant GM,vitalroot.sarah@ediblebeats.com / vitalroot.kyle@ediblebeats.com,Aidan,Operations,aidan@ediblebeats.com,3,"Sarah said they have a use case and would be interested, CC Kyle the executive chef and Aidan who would spearhead this partnership / they are under a company called edible beats / talked to madison the employee as well",NA,NA,NA,NA
Voodoo Doughnut (Colfax),"1520 E Colfax Ave Denver, CO 80218",Eddy,Y,email,23-Oct,3,NA,A,1,Donut shop,720-397-9847,Nate,GM,nate@voodoodoughnut.com,NA,NA,NA,NA,interested - they try to sell day olds in a bag already,NA,NA,NA,NA
Le Bakery,"302 E 6th Ave Denver, CO 80203",Luke,Y,Email,18-Oct,2,NA,A,1,Bakery,3037775151,John,Owner or manager,NA,Also john,NA,lebakerysensual@gmail.com,NA,talked to John (owner) loves idea. Wants an email with more information / waiting on response,NA,NA,NA,NA
Gateaux pastries,"1164 N Speer Blvd Denver, CO 80204",Luke,Y,Email,19-Oct,2,NA,A,1,Bakery,NA,Michelle,Owner,NA,NA,NA,info@gateauxpastries.com,1,Michelle (owner) said it might be =better at the new location. Wants email with more info. They do theoir own version of goodie bags in store.,NA,NA,NA,NA
Tumble Haus,"1330 W 38th St Denver, CO 80211",Jack,Y,email,24-Oct,2,NA,A,1,Cafe,(720) 379-3470,Yon,Owner,yon@tumblehaus.com,Yon,Owner,yon@tumblehaus.com,1,Spoke w yonStoked on goodiebag and he could use it/revamping website & menu/will get set up before our launch/told him we can get him setup in 15mins and he doesn't need his menu set beforehand,NA,NA,NA,NA
DP Dough,"1228 E Colfax Ave Denver, CO 80218",Eddy,Y,email,24-Oct,2,NA,B,1,Fast casual MTO,NA,Colin,employee,NA,Chris Albert,GM,dpdoughdenver@gmail.com,NA,"email Chris ""Attention: Chris Albert""",NA,NA,NA,NA
Detour Bakery,"1479 S Holly St Denver, CO 80222",NA,Y,NA,NA,NA,NA,NA,NA,Bakery,(303) 756-2020,NA,NA,NA,NA,NA,daniel@detourbakery.com,NA,"""Some days we do donate them... to our employees, and other local bsuienss employees""",NA,NA,NA,NA
Izzio Bakery Central Market,"2669 Larimer St Denver, CO 80205",Eddy,Y,email,23-Oct,2,NA,A,2,Bakery,(720)-231-1986 (S?),Lindsey,Denver Central Market Manager,lkuchcinski@izziobakery.com,NA,NA,NA,2+,"They don't sell day olds bc of brand risk, ""something we don't do"" - would have to convince the founder / also talked to Edmundo the employee",NA,NA,NA,NA
La Fillette Bakery,"6217 E 14th Ave Denver, CO 80220",NA,Y,NA,NA,NA,NA,NA,NA,Bakery,303.355.0022,NA,NA,NA,NA,NA,NA,NA,"""If we do have excess at the end of the day we try to pass them around to staff""",NA,NA,NA,NA
Lo Dough Bakery,"1854 Wazee St Denver, CO 80202",NA,N,NA,NA,NA,NA,NA,NA,Bakery,NA,NA,NA,NA,NA,NA,orders@lodoughbakery.com,NA,TGTG Partner,NA,NA,NA,NA
Tokyo Premium Bakery,"1540 S Pearl St Denver, CO 80210",Luke,Y,In person,18-Oct,2,NA,A,2,Bakery,720-531-3784,Kate,Employee,NA,Unkowkn,Owners,NA,1,"""No we do not donate unfortunately"" - Talked to Kate - passig info along (owners are traditional japanese, concerned with freshness of products",NA,NA,NA,NA
Reunion Bakery,"3350 Brighton Blvd Denver, CO 80216",Eddy,Y,email,19-Oct,2,NA,A,2,Bakery,(720)6209336,Alex,manager,NA,Ishmael,Owners,reunionbreadwholesale@gmail.com,1,Have surplus and no solution / Alex said they do a good job of limiting waste thru selling to their retail locations,NA,NA,NA,NA
Ban Hand Butter,"9935 E Colfax Ave Aurora, CO 80110",NA,N,NA,NA,NA,NA,NA,NA,Bakery,(720) 513-9313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lamar's Donuts,"990 W 6th Ave Denver, CO 80204",NA,N,NA,NA,NA,NA,NA,NA,Bakery,NA,NA,NA,NA,NA,NA,NA,NA,"stephanie, employees take it home - they make extra if they know it's gonna be donated / no consistent donation partner",NA,NA,NA,NA
Mermaid's Bakery,"1543 Champa St Denver, CO 80202",NA,N,NA,NA,NA,NA,NA,NA,Bakery,(303) 534-0956,NA,NA,NA,NA,NA,NA,NA,"diana = boss, jack = employee / caked MTO, cupcakes surplus on slow days (/tuesday)",NA,NA,NA,NA
Wooden Spoon,"2418 W 32nd Ave Denver, CO 80211",Eddy,Y,in-person,19-Oct,1,NA,A,2,Bakery,303-999-0327,James,manager,NA,NA,NA,NA,1,James said he eats their surplus and brings it to the other places he works at / said he would look thru the website and reach out if they were interested / maybe something they'd do in the new year,NA,NA,NA,NA
Petunia Bakeshop,"3004 W 23rd Ave Denver, CO 80211",NA,Y,NA,NA,NA,NA,A,3,Bakery,(720) 536-5007,NA,NA,NA,NA,NA,petuniabakeshop@outlook.com,NA,donates to local church,NA,NA,NA,NA
Omonoia Bakery (No Website),"2813 E Colfax Ave Denver, CO 80206",Eddy,Y,In Person,18-Oct,1,NA,A,2,Bakery,(303) 394-9333,Diamond,Mananger,720-394-0161,Paulina,Owner,NA,1,donates sunday night bc closed . businsess is slow / Talked to diamond the manager and have her number,"Talked to sesme? Owner is Paulina, will be in On wednesday/ call back certian days",NA,NA,NA
Miss Mollys Bakery,"2600 E Colfax Ave Denver, CO 80206",Eddy,Y,email,23-Oct,4,NA,A,2,Bakery,303-268-1222 (C)?,Georgio,Assistant,NA,Shane,GM/owner?,shane@missmollysbakery.com,1,something we have been looking into / shane saw my email and said to coordinate a meeting thru there / Georgio said they have surplus,NA,NA,NA,NA
my favorite muffin (16th mall),"1750 16th Street Mall Denver, CO 80202",Eddy,Y,call,19-Oct,2,NA,A,2,Bakery,(303) 623-0060,Kim,employee,NA,Paul,Owner,NA,1,"talked to kim - paul = owner, franchise model",NA,NA,NA,NA
City Bakery,"5454 Washington St Denver, CO 80216",NA,N,NA,NA,NA,NA,NA,NA,Bakery,1 303 292 3989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Devils food bakery,"1020 S Gaylord St Denver, CO 80209",Luke,Y,In person,19-Oct,2,NA,A,2,Bakery,303.777.9555,"Don't remember physical visit,",but jacob for phone call,NA,NA,NA,NA,NA,"Jacob - Manager ""I think we donate to a foodbank? I don't know I'm not here that late.""",NA,NA,NA,NA
Olive and Finch,"1552 E 17th Ave Denver, CO 80218",Eddy,Y,call,23-Oct,3,NA,A,2,cafe,303.832.8663,Jonda,General Manager,NA,Mary Nyugen,Owner,NA,2+,Danny said they do have surplus and they don't donate (giving information to her manager) / left my name and # several times via phone / #4,Talked to Joda (GM) while viisting in person.,NA,NA,NA
House and Bread,"2020 S Parker Rd Denver, CO 80231",NA,N,NA,NA,NA,NA,NA,NA,Bakery,(720) 727-0000,NA,NA,NA,NA,NA,info@houseofbreadinc.com,NA,"Actively looking for places to donate! Patrina (or catrina?) said to email them! / very east near Aurora, not ideal for launch",NA,NA,NA,NA
Taste of Denmark,"1901 S Kipling St Lakewood, CO 80227",NA,N,NA,NA,NA,NA,NA,NA,Bakery,(303) 987-8283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rebel Bread,"675 S Broadway Denver, CO 80209",NA,N,NA,NA,NA,NA,NA,NA,Bakery,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Owlette Bakery,"1530 16th St. Denver, CO 80202",NA,N,NA,NA,NA,NA,NA,NA,Bakery,NA,NA,NA,NA,NA,NA,NA,NA,"donates everyday, has about a tray a week",NA,NA,NA,NA
kolache house bakery,"8840 W Colfax Ave Lakewood, CO 80215",NA,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Whittier Cafe,"1710 E 25th Ave Denver, CO 80205",NA,N,NA,NA,NA,NA,NA,NA,cafe,(720) 550-7440,NA,NA,NA,NA,NA,NA,NA,No danotions. Wasted bread for our paninis. Millece (owner) Talked to employee (shea),NA,NA,NA,NA
Roostercat Coffee House,"1045 Lincoln St Denver, CO 80203",Luke,Y,Email,17-Oct,2,NA,A,2,cafe,(720) 388-0356,Logan,Food manager,NA,JJ,Owner,roostercat@gmail.com,1,x,NA,NA,NA,NA
The Bardo,"238 S Broadway Denver, CO 80209",NA,N,NA,NA,NA,NA,NA,NA,cafe,(303) 629-8331,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blue Sparrow Coffe,"3070 Blake St Denver, CO 80205",Luke,Y,In Person,17-Oct,2,NA,A,2,cafe,(720) 615-1516,?,NA,NA,NA,NA,manager@bluesparrowcoffee.com,NA,Visited Platte st location and employee gave Daniels phone number (7204480211) Waiting on email back from management,NA,NA,NA,NA
Copper Door Coffe Roaster,"1085 York St Denver, CO 80206",NA,N,NA,NA,NA,NA,NA,NA,cafe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Corvus (south broadway),"1740 S Broadway Denver, CO 80210",Eddy,Y,email,23-Oct,2,NA,A,2,cafe,(303) 715-1740,Jenna,employee,NA,Phil,Owner,info@corvuscoffee.com,4,"Has surplus, doesn't donate",NA,NA,NA,NA
Dandy Lion Coffe,"5231 E 38th Denver, CO 80207",NA,N,NA,NA,NA,NA,NA,NA,cafe,NA,NA,NA,NA,NA,NA,dandylioncoffee@gmail.com,NA,NA,NA,NA,NA,NA
Huckleberry Roasters,"4301 Pecos St Denver, CO 80211",NA,N,NA,NA,NA,NA,NA,NA,cafe,(866) 558-2201,NA,NA,NA,NA,NA,info@huckleberryroasters.com,NA,NA,NA,NA,NA,NA
Jubilee Roasting Co.,"1075 Park Ave W Denver, CO 80205",NA,N,NA,NA,NA,NA,NA,NA,cafe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lekker,"3460 Larimer St Denver, CO 80205",Eddy,Y,in-person,18-Oct,1,NA,B,2,cafe,(720) 833-1423,Tara,employee,NA,Kara,Owner,lekkercoffeerino@gmail.com,1,They has some premade pastries and burritos but said very little to no surplus,NA,NA,NA,NA
Pablo's Coffee,"1300 Pennsylvania St Denver, CO 80203",Luke,Y,in person,18-Oct,1,NA,A,2,cafe,303) 744-3323,Forget for physical visit,NA,NA,NA,NA,Shop@pabloscoffee.com,NA,We don't really gice out food on weekends. We don't work with anyone (email mark - talked with aaron)Email shop,NA,NA,NA,NA
Quince Coffee Shop,"1447 Quince St Denver, CO 80220",NA,N,NA,NA,NA,NA,NA,NA,cafe,(303) 955-2479,NA,NA,NA,NA,NA,NA,NA,TBH... we don't donate (nothign really goes to waste) Revisit in person,NA,NA,NA,NA
Little finch,"1490 16th St Denver, CO 80202",Eddy,Y,in-person,18-Oct,1,NA,A,2,cafe,NA,Mary,employee,NA,NA,NA,NA,NA,talked to mary the employee - same owner of Olive and FInch,NA,NA,NA,NA
Huckle Berry (milk Market),"1800 Wazee St Denver, CO 80202",Luke,Y,Email,17-Oct,2,NA,A,2,cafe,NA,Collin,Employee,NA,Odalis,Manager,027ibarra@gmail.com,4,Collin gave Odali's (GM) email,NA,NA,NA,NA
Metropolis Coffee,"300 W 11th Ave Denver, CO 80204",Luke,Y,Tetx box submission,17-Oct,2,NA,A,2,cafe,3035637021,Megan,Employee,NA,Brock,owner,NA (text box on website),4,Sent text box submission adressed to Brock through website as directed. (talked to Megan),NA,NA,NA,NA
Moxie,"70 Broadway Denver, CO 80203",Luke,Y,In person,18-Oct,1,NA,A,2,cafe,(303) 524-9236,Marco,Employee,NA,NA,NA,NA,NA,Talked to Marco (employee) while owner wasn't there. Passing it on to owner. Wasn't aloud to give out contact.,NA,NA,NA,NA
Wonder,"1540 Platte St Denver, CO 80202",Luke,Y,In person,18-Oct,2,NA,B,2,cafe,NA,Mckenna,Employee,NA,kayla,Manager,platte@wonderpress.co,NA,"Talked to Mckenna, passing it on the Kayla. Interested and has 33% OFF shelf.",NA,NA,NA,NA
Mutiny,"2 S Broadway Denver, CO 80209",Luke,Y,In person,18-Oct,1,NA,A,3,cafe,NA,NA,NA,NA,NA,NA,NA,NA,Don't go there,NA,NA,NA,NA
Crema,"2862 Larimer St Denver, CO 80205",Luke,Y,Email,17-Oct,2,NA,A,2,cafe,NA,Jack,Employee,NA,Wyett,Manager,cremawholesale@gmail.com,1,Talked to Jack - sent manager (wyett) email,NA,NA,NA,NA
Yours truly cupcake,"3563 Larimer St Denver, CO 80205",Eddy,Y,phone,23-Oct,3,NA,A,2,Bakery,303-638-3528,Chloe,employee,NA,Lisa,GM,lisa@yourstrulycupcake.com,1,"Tiffany = owner, spoke to chloe",NA,NA,NA,NA
Atomic Provisions (pizza),"141 S Broadway, Denver, CO 802",Luke,Y,Email,17-Oct,2,NA,A,2 (corporate),Pizza,NA,Sky,Employee,NA,Jeremy,manager,"jeremy.gable@atomicprovisions.com,",2?,"Talked to Sky, told to email Jeremy (GM) / responded saying we need ot talk to corporate about it",NA,NA,NA,NA
Pie Hole,"44 S Broadway Denver, CO 80209",Luke,Y,Call,19-Oct,2,NA,A,2,Pizza,NA,Trevor,Employee,NA,CJ,Manager,need to catch him on a call,NA,"Talked to Trevor, passing it along to CJ - (call on thursday and askf or CJ) --- call monday",NA,NA,NA,NA
The Bardo,"238 S Broadway Denver, CO 80209",Luke,Y,In person,18-Oct,2,NA,A,2,cafe,NA,?,NA,NA,NA,NA,NA,NA,"Talked to employee, passing it along. (owner is reachable at HERE) / Did the text box submission, waiting on response",NA,NA,NA,NA
Devils food bakery,"1020 S Gaylord St Denver, CO 80209",Luke,Y,In person,18-Oct,NA,NA,NA,NA,NA,NA,?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Steam Espresso Bar,"1801 S Pearl St Denver, CO 80210",Luke,Y,Email,18-Oct,2,NA,A,2,cafe,NA,Kylie,Employee,NA,Hani,Owner?,hani@steamespressobar.com,NA,Talked to Kylie (manager)- passing info along to onwer. Something they've been looking for! / waiting for email response,NA,NA,NA,NA
Gates and Grog,"1875 S Pearl St Denver, CO 80210",Luke,Y,In person,18-Oct,NA,NA,NA,NA,Deli,NA,Victor,Head chef,NA,NA,NA,NA,NA,Victor (head chef) said they'd only use it once a week but wanted a card.,NA,NA,NA,NA
WashPerk,"853 E Ohio Ave Denver, CO 80209",Jack,Y,email,18-Oct,2,NA,B,2,cafe,n/a,n/a,cashier,NA,n/a,n/a,washperk@gmail.com,1,"Manager wasn't in, gave email to me",NA,NA,NA,NA
Happy bake shop,"3621 W 32nd Ave Denver, CO 80211",NA,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Daboba,"1920 17th St Denver, CO 80202",NA,Y,NA,NA,NA,NA,NA,NA,cafe,NA,NA,NA,NA,NA,NA,NA,NA,Doesn't do food,NA,NA,NA,NA
Penelope's Cafe,"1801 Blake St Denver, CO 80202",Luke,Y,In person,18-Oct,2,NA,B,2,cafe,NA,Matt,NA,NA,NA,NA,NA,NA,"Talked to Matt who said they're trying to get on too good to go. Passing info along. Email wouldnt hurt /Emailed them, waiting for response",NA,NA,NA,NA
Fluid Coffee,"501 E 19th Ave Denver, CO 80203",Luke,Y,In person,19-Oct,2,NA,B,2,cafe,NA,Jackie,Employee,NA,Jeff,Owner,info@fluidcoffeebar.com,2,"Talked to Jackie, (was told to email them adresesd to Jeff the owner) /Eailed, waiitng on response",NA,NA,NA,NA
Slackline Coffee,"1139 20th St Denver, CO 80202",Luke,Y,In person,19-Oct,2,NA,B,2,cafe,NA,Forgot,NA,NA,Chad Bratt,Owner,chad.bratt@jaggedbrewery.com,NA,Was told to email owner. Forgot name of employee,NA,NA,NA,NA
Corner Bakery,"500 16th St Mall Denver, CO 80202",Luke,Y,In person,19-Oct,1,NA,A,2,cafe,NA,Herma,Employee,NA,NA,NA,NA,3,Talked to Herma. Not allowed ot give out info. Was told ot call or visit another day.,NA,NA,NA,NA
Il Posto,"2601 Larimer St Denver, CO 80205",Jack,Y,email,19-Oct,2,NA,B,2,fast casual MTO,NA,bartender,manager on duty,NA,NA,NA,tyler@ilpostodenver.com,1,NA,NA,NA,NA,NA
Stow Away Cafe Denver,"2528 Walnut St Denver, CO 80205",Jack,Y,email,19-Oct,2,NA,B,2,Cafe,NA,NA,owner,stowawaycafedenver@gmail.com,NA,NA,NA,NA,gives food away to shelters but intested anyway,NA,NA,NA,NA
Silce works colfax,"700 E Colfax Ave Denver, CO 80203",Eddy,Y,email,23-Oct,2,NA,A,2,pizzeria RM,(303) 993-8127,Lou Scileppi,Owner,NA,NA,NA,louscileppi@comcast.net,4,Has surplus and can't legally donate - Lou owns all locations,NA,NA,NA,NA
Slice works LODO,"1433 17th St Denver, CO 80202",NA,Y,NA,NA,NA,NA,NA,NA,Pizza,(303) 297-3464,NA,NA,NA,NA,NA,zakc@sliceworkspizza.com,NA,Talked to Dave -,Zak Cannata (owner),860-805-9737,NA,NA
Redeemer,"2705 Larimer St Denver, CO 80205",Luke,Y,Email,18-Oct,2,NA,A,2,Pizza,(720) 780-1379,Brandon and Brett,Both Employees,NA,Chad,Owner,had@diomiopasta.com,NA,"Brandon. INTERESTED!!! Owner will be calling. ""if they don't call, please try again""","Went in Monday, talked to Brett who said to email Chad (GM)/ awatiting response",NA,NA,NA
Sexy Pizza,"1579 S Pearl St Denver, CO 80210",NA,Y,NA,NA,NA,NA,NA,NA,Pizza,(303) 777-5878,NA,NA,NA,NA,NA,NA,NA,We trash it. Jessie (employee) loves the idea and said to email Marketing@sexy.pizza,NA,NA,NA,NA
Blue Pan Pizza,"3509 E 12th Ave Denver, CO 80206",Eddy,Y,in-person,19-Oct,1,NA,B,3,Pizza,(720) 519-0944,Colin,employee,NA,Grace,GM,grace@bluepandenver.com,2,doesn't seem to have much surplus,NA,NA,NA,NA
Famous Original J's,"715 E 26th Ave Denver, CO 80205",Eddy,Y,NA,NA,NA,NA,NA,NA,Pizza,(720) 420-9102,NA,NA,NA,NA,NA,NA,NA,"""we do have extra slices that we try to give to a couple homeless that come by sometimes"" (intersted in another solution)",NA,NA,NA,NA
Mora,"911 E Colfax Ave Denver, CO 80218",NA,N,NA,NA,NA,NA,NA,NA,Pizza,(786) 483-4212,NA,NA,NA,NA,NA,NA,NA,"""we don't have extra"" (revisit in person?)",NA,NA,NA,NA
Oblio's,"6115 E 22nd Ave Denver, CO 80207",NA,N,NA,NA,NA,NA,NA,NA,Pizza,(303) 321-1511,NA,NA,NA,NA,NA,NA,NA,No pizza by the slice,NA,NA,NA,NA
Mellow mushroom,"1201 16th St Denver, CO 80202",Eddy,Y,email,23-Oct,2,NA,B,2,Pizzeria MTO,NA,Michael,GM,denver_gm@mellowmushroom.com,NA,NA,NA,NA,Michael liked it but corporate will have to make the decision,NA,NA,NA,NA
Cart Driver,"2235 W 30th Ave Denver, CO 80211, United States",Jack,Y,email,25-Oct,2,NA,B,2,Pizza MTO,NA,Annabelle,employee,NA,stephen,co-owner,stephen.mcgregor@cart-driver.com,2,Spoke w employee/emailed co-owner stephen,NA,NA,NA,NA
Giordano's,"1600 California St Denver, CO 80202",Eddy,Y,email,23-Oct,3,NA,B,2,Pizzeria MTO,NA,Madison,employee,NA,Peter,Director of Ops,mmedina@giordanosco.com / ppraisilik@giordanosco.com,NA,Peter = Director of operations who would make the decision. A lot of no-show pickup orders,NA,NA,NA,NA
Fox and the Hen,"2257 West 32nd Ave Denver, CO 80211",Jack,Y,NA,NA,NA,NA,NA,NA,Pizza,NA,Zak & Carrie,NA,NA,NA,NA,zak@foxandthehen.com & carrier@foxandthehen.com,NA,"Spoke w employee/owner? and she advised I reach out to the chefs, Zak & Carrie",NA,NA,NA,NA
Afterburners Calzones,"32 N Broadway Denver, CO 80203",Luke,Y,NA,NA,NA,NA,NA,NA,Pizza,NA,NA,NA,NA,NA,NA,NA,NA,"No surplus, although kate is talking to owners who own other spots",NA,NA,NA,NA
