Name,Surplus,Solution,Lead,Employee + Position,Their email,Decision Maker,Phone Number,Status,Last PoC Date,"Shop category (pizzeria RM, pizzeria MTO, fast casual RM, fast casual MTO, bakery, donut shop, cafe, bagels shop, grocer, grab n' go)",# of locations,Ownership,Address,Physically Visited? Y/N,"Last Poc Type (in-person, call, email)",Touchpoint #,Notes,lon,lat,address,status_Color
Doki Doki,yes,gb model,NA,NA,NA,NA,(385) 229-4339,NA,NA,NA,NA,NA,"249 E 400th S Salt Lake City, UT 84111",NA,NA,NA,NA,-111.8836641,40.7609628,"249 e 400 s, salt lake city, ut 84111, usa",blue
Bonne Vie,NA,NA,NA,NA,NA,NA,(801) 258-6554,NA,NA,NA,NA,NA,"555 Main St Salt Lake City, UT 84111",NA,NA,NA,NA,-111.8902974,40.7574622,"555 main st, salt lake city, ut 84101, usa",NA
JJ Donuts,NA,NA,NA,NA,NA,NA,(385) 399-7399,NA,NA,NA,NA,NA,"15 US-89 North Salt Lake, UT 84054",NA,NA,NA,NA,-111.9099105,40.8413658,"15 us-89, north salt lake, ut 84054, usa",NA
Vitality Bowls,NA,NA,NA,NA,NA,NA,(801) 883-9065,NA,NA,NA,NA,NA,"51 South Main St Space 140 Salt Lake City, UT 84101",NA,NA,NA,NA,-111.8903528,40.7683659,"51 s main st #140, salt lake city, ut 84111, usa",NA
Canela Bakery and Cafe,NA,NA,NA,NA,NA,NA,(385) 371-5342,NA,NA,NA,NA,NA,"775 S 900th W Salt Lake City, UT 84104",NA,NA,NA,NA,-111.9165245,40.75218470000001,"775 s 900 w, salt lake city, ut 84104, usa",NA
Schmidt's Pastry Cottage,yes,NA,NA,NA,NA,NA,(801) 967-9766,NA,NA,NA,NA,NA,"5664 S Redwood Rd Salt Lake City, UT 84123",NA,NA,NA,call s jordan location for mngr,-111.9389969,40.6485704,"5664 s redwood rd, salt lake city, ut 84123, usa",NA
Pie Fight,NA,NA,NA,NA,NA,NA,(385) 222-5373,NA,NA,NA,NA,NA,"937 E 900 S Salt Lake City, UT 84105",NA,NA,NA,NA,-111.8639153,40.74982989999999,"937 e 900 s, salt lake city, ut 84105, usa",NA
Leslie's French Pastries,no,no,NA,NA,NA,NA,(801) 278-3341,NA,NA,NA,NA,NA,"4658 S Holladay Blvd Holladay, UT 84117",NA,NA,NA,NA,-111.825284,40.6693552,"4658 s holladay blvd, holladay, ut 84117, usa",red
Aconcagua,yes,no,NA,NA,NA,NA,(385) 209-2978,NA,NA,NA,NA,NA,"715 N Main St Layton, UT 84041",NA,NA,NA,minimal surplus/gives to EEs/family run,-111.9773772,41.0703119,"715 n main st, layton, ut 84041, usa",red
Karim Bakery,NA,NA,NA,NA,NA,NA,(801) 645-4533,NA,NA,NA,NA,NA,"2575 S State St South Salt Lake, UT 84115",NA,NA,NA,NA,-111.8879096,40.7146179,"2575 s state st, south salt lake, ut 84115, usa",NA
Parson's Bakery,NA,NA,NA,NA,NA,NA,(801) 298-3059,NA,NA,NA,NA,NA,"535 W 2600th S Bountiful, UT 84010",NA,NA,NA,NA,-111.8930495,40.8601673,"535 w 2600 s, bountiful, ut 84010, usa",NA
Sweet Cake Bake Shop,yes,gb model,NA,NA,NA,NA,(801) 683-8396,NA,NA,NA,NA,NA,"96 S Main St Bountiful, UT 84010",NA,NA,NA,sells day olds 10% off/freezer sale goes for $1.20/then they donate,-111.8815571,40.8887841,"96 s main st, bountiful, ut 84010, usa",blue
Deliciously Sweet Bakery,NA,NA,NA,NA,NA,NA,(801) 718-2836,NA,NA,NA,NA,NA,"5786 W Gold Stone Dr South Jordan, UT 84009",NA,NA,NA,NA,-112.0288904,40.5433475,"5786 gold stone dr, south jordan, ut 84009, usa",NA
Sagato Bakery & Cafe,NA,NA,NA,NA,NA,NA,(385) 557-1728,NA,NA,NA,NA,NA,"44 W 7200th S Midvale, UT 84047",NA,NA,NA,NA,-111.8924905,40.6211707,"44 w 7200 s, midvale, ut 84047, usa",NA
Bix Bakery & Cafe,yes,no,NA,NA,NA,NA,(385) 259-0359,NA,NA,NA,NA,NA,"479 E 2100th S Ste B Salt Lake City, UT 84115",NA,NA,NA,NA,-111.8770353,40.7256073,"479 e 2100 s b, salt lake city, ut 84115, usa",red
Momo's Gourmet Cheesecake,yes,NA,NA,NA,NA,NA,(801) 900-8283,NA,NA,NA,NA,NA,"29 East 400 S Salt Lake City, UT 84111",NA,NA,NA,mto/gives surplus to EEs,-111.889987,40.7609236,"29 e 400 s, salt lake city, ut 84111, usa",NA
Frankie & Essls,NA,NA,NA,NA,NA,NA,(385) 300-8320,NA,NA,NA,NA,NA,"490 E 1300 S Ste 102 Salt Lake City, UT 84105",NA,NA,NA,NA,-111.876985,40.7414532,"490 e 1300 s suite 102, salt lake city, ut 84105, usa",NA
Fresh Donut & Deli,yes,ish,NA,NA,NA,NA,(801) 467-8322,NA,NA,NA,NA,NA,"2699 S State St Salt Lake City, UT 84115",NA,NA,NA,"donations pick up sometimes/when they don't, surplus is given away",-111.8881788,40.71265349999999,"2699 s state st, south salt lake, ut 84115, usa",purple
Banbury Cross,NA,NA,NA,NA,NA,joan,(385) 715-4220,8012775512,NA,NA,NA,NA,"705 S 700th E Salt Lake City, UT 84102",NA,NA,NA,NA,-111.8707057,40.75383739999999,"705 s 700 e, salt lake city, ut 84102, usa",NA
Donut Boy,NA,NA,NA,NA,NA,NA,(385) 528-0782,NA,NA,NA,NA,NA,"2194 W 3500th S Salt Lake City, UT 84119",NA,NA,NA,NA,-111.9462565,40.697266,"2194 w 3500 s, west valley city, ut 84119, usa",NA
Darla's Donuts,NA,NA,NA,NA,NA,NA,(801) 975-6381,NA,NA,NA,NA,NA,"2278 S Redwood Rd Salt Lake City, UT 84119",NA,NA,NA,NA,-111.9395064,40.7214698,"2278 s redwood rd, west valley city, ut 84119, usa",NA
Panderia las Canastas,NA,NA,NA,NA,NA,NA,(801) 699-6876,NA,NA,NA,NA,NA,"950 W 1000th N Salt Lake City, UT 84116",NA,NA,NA,NA,-111.9188919,40.7913749,"950 w 1000 n, salt lake city, ut 84116, usa",NA
Mochinut,NA,NA,NA,NA,NA,NA,(385) 300-8360,NA,NA,NA,NA,NA,"2142 S Highland Dr Salt Lake City, UT 84106",NA,NA,NA,NA,-111.8595289,40.7241982,"2142 s highland dr, salt lake city, ut 84106, usa",NA
Donut Star,NA,NA,NA,NA,NA,NA,(801) 787-7978,NA,NA,NA,NA,NA,"10522 South Redwood Rd South Jordan, UT 84095",NA,NA,NA,NA,-111.9393125,40.560408,"10522 s redwood rd, south jordan, ut 84095, usa",NA
Bowman's,NA,NA,NA,NA,NA,NA,(801) 544-4215,NA,NA,NA,NA,NA,"326 N Main St Kaysville, UT 84037",NA,NA,NA,NA,-111.9414866,41.0406371,"326 n main st, kaysville, ut 84037, usa",NA
9th St Coffee and Donuts,yes,no,NA,NA,NA,NA,(801) 577-3006,NA,NA,NA,NA,NA,"248 W 900th S Salt Lake City, UT 84101",NA,NA,NA,minimal waste/avoids surplus like the plague,-111.8984725,40.7500213,"248 w 900 s, salt lake city, ut 84101, usa",red
Nigh-Time Donuts,NA,NA,NA,NA,NA,NA,(435) 882-8503,NA,NA,NA,NA,NA,"299 N Main St Tooele, UT 84074",NA,NA,NA,NA,-112.2995952,40.535922,"299 n main st, tooele, ut 84074, usa",NA
Dolly's Donuts Bar and Grill,NA,NA,NA,NA,NA,NA,(385) 355-9904,NA,NA,NA,NA,NA,"3245 S State St Salt Lake City, UT 84115",NA,NA,NA,NA,-111.887878,40.7009191,"3245 s state st, south salt lake, ut 84115, usa",NA
Dunford Bakers,NA,NA,NA,NA,NA,NA,(801) 304-0400,NA,NA,NA,NA,NA,"8556 S 2940 W West Jordan, UT 84088",NA,NA,NA,NA,-111.9633307,40.5962292,"8556 s 2940 w, west jordan, ut 84088, usa",NA
Stone Ground Bakery,NA,NA,NA,NA,NA,NA,801-886-2336,NA,NA,NA,NA,NA,"1025 S 700 W Salt Lake City, UT 84104",NA,NA,NA,NA,-111.9102366,40.7469064,"1025 s 700 w, salt lake city, ut 84104, usa",NA
Victor's Pizza,NA,NA,NA,NA,NA,NA,(801) 996-3485,NA,NA,NA,NA,NA,"545 W 3900 S Salt Lake City, UT 84123",NA,NA,NA,NA,-111.906989,40.686769,"545 w 3900 s, salt lake city, ut 84123, usa",NA
The Pie Pizzeria,NA,NA,NA,NA,NA,NA,(801) 582-5700,NA,NA,NA,NA,NA,"1320 E 200 S Salt Lake City, UT 84102",NA,NA,NA,NA,-111.8529926,40.7647297,"1320 e 200 s, salt lake city, ut 84102, usa",NA
Pie Hole,NA,NA,NA,NA,NA,NA,(801) 359-4653,NA,NA,NA,NA,NA,"344 S State St Salt Lake City, UT 84111",NA,NA,NA,NA,-111.888648,40.7616445,"344 s state st, salt lake city, ut 84111, usa",NA
Villaggio Pizzeria,NA,NA,NA,NA,NA,NA,(801) 410-4355,NA,NA,NA,NA,NA,"3144 S State St Ste 1 South Salt Lake, UT 84115",NA,NA,NA,NA,-111.8889007,40.7025527,"3144 s state st suite 1, south salt lake, ut 84115, usa",NA
Free Wheeler Pizza,NA,NA,NA,NA,NA,NA,(801) 322-3733,NA,NA,NA,NA,NA,"150 S 400th E Salt Lake City, UT 84111",NA,NA,NA,NA,-111.8800776,40.7659017,"150 s 400 e, salt lake city, ut 84111, usa",NA
Rusted Sun Pizzeria,NA,NA,NA,NA,NA,NA,(801) 483-2120,NA,NA,NA,NA,NA,"2010 S State St Salt Lake City, UT 84115",NA,NA,NA,NA,-111.888526,40.7264118,"2010 s state st, salt lake city, ut 84115, usa",NA
City Creek Pizza,NA,NA,NA,NA,NA,NA,(801) 433-2825,NA,NA,NA,NA,NA,"1306 W N Temple Salt Lake City, UT 84116",NA,NA,NA,NA,-111.9287976,40.7718336,"1306 w north temple st, salt lake city, ut 84116, usa",NA
Supremo Pizza,NA,NA,NA,NA,NA,NA,(385) 461-4909,NA,NA,NA,NA,NA,"7355 S 900th E Midvale, UT 84047",NA,NA,NA,NA,-111.8657666,40.6170636,"7355 s 900 e, midvale, ut 84047, usa",NA
Sicilia Pizza and Kitchen,NA,NA,NA,NA,NA,NA,(801) 961-7077,NA,NA,NA,NA,NA,"35 W Broadway 300 S Salt Lake City, UT 84101",NA,NA,NA,NA,-111.892488,40.762511,"35 w broadway, salt lake city, ut 84101, usa",NA
Mountain Mike's Pizza,NA,NA,NA,NA,NA,NA,(801) 335-9041,NA,NA,NA,NA,NA,"3785 10400th S Ste 101-103 South Jordan, UT 84095",NA,NA,NA,NA,-111.980375,40.5603351,"3785 10400 s suite 101-103, south jordan, ut 84009, usa",NA
Wild Pepper Pizza,NA,NA,NA,NA,NA,NA,(801) 220-0777,NA,NA,NA,NA,NA,"777 S State St Salt Lake City, UT 84111",NA,NA,NA,NA,-111.8877489,40.75243589999999,"777 s state st, salt lake city, ut 84111, usa",NA
Este Pizzeria,NA,NA,NA,NA,NA,NA,(801) 363-2366,NA,NA,NA,NA,NA,"156 E 200th S Salt Lake City, UT 84111",NA,NA,NA,NA,-111.8863476,40.7646886,"156 e 200 s, salt lake city, ut 84111, usa",NA
Big Apple Pizzeria,NA,NA,NA,NA,NA,NA,(801) 485-4534,NA,NA,NA,NA,NA,"2939 East 3300 S Salt Lake City, UT 84109",NA,NA,NA,NA,-111.8090078,40.700213,"2939 e 3300 s, salt lake city, ut 84109, usa",NA
Spedelli's,NA,NA,NA,NA,NA,NA,(385) 528-0181,NA,NA,NA,NA,NA,"2991 E 3300th S Salt Lake City, UT 84109",NA,NA,NA,NA,-111.8079735,40.7002621,"2991 e 3300 s, salt lake city, ut 84109, usa",NA
Maxwell's Pizza & Cheesesteaks,NA,NA,NA,NA,NA,NA,(801) 253-0304,NA,NA,NA,NA,NA,"11248 Kestrel Rise Rd South Jordan, UT 84095",NA,NA,NA,NA,-112.0027846,40.5468394,"11248 s kestrel rise rd, south jordan, ut 84009, usa",NA
Louies Pizzeria,NA,NA,NA,NA,NA,NA,(801) 784-8781,NA,NA,NA,NA,NA,"1095 N Main St Layton, UT 84041",NA,NA,NA,NA,-111.9825705,41.0755582,"1095 n main st, layton, ut 84041, usa",NA
Big Daddy's Pizza,NA,NA,NA,NA,NA,NA,(801) 746-7499,NA,NA,NA,NA,NA,"170 E 800th S Salt Lake City, UT 84111",NA,NA,NA,NA,-111.8859464,40.7516779,"170 e 800 s, salt lake city, ut 84111, usa",NA
Snowmobile Pizza,NA,NA,NA,NA,NA,NA,(801) 317-8877,NA,NA,NA,NA,NA,"877 S 200 W, Salt Lake City, UT 84101",NA,NA,NA,NA,-111.896584,40.7500616,"877 s 200 w, salt lake city, ut 84101, usa",NA
R&R BBQ,NA,NA,NA,NA,NA,NA,(801) 364-0443,NA,NA,NA,NA,NA,"307 W 600th S Salt Lake City, UT 84101",NA,NA,NA,NA,-111.9000594,40.75578,"307 w 600 s, salt lake city, ut 84101, usa",NA
Blatch's Backyward BBQ,NA,NA,NA,NA,NA,NA,(385) 210-5029,NA,NA,NA,NA,NA,"186 I St Salt Lake City, UT 84103",NA,NA,NA,NA,-111.8712262,40.7737499,"186 i st, salt lake city, ut 84103, usa",NA
Charlotte-Rose's Carolina BBQ,NA,NA,NA,NA,NA,NA,(801) 834-3066,NA,NA,NA,NA,NA,"792 E 3300 S Millcreek, UT 84106",NA,NA,NA,NA,-111.868633,40.699519,"792 e 3300 s, millcreek, ut 84106, usa",NA
Smokin Bones BBQ,NA,NA,NA,NA,NA,NA,(801) 298-1687,NA,NA,NA,NA,NA,"364 S 200th W Bountiful, UT 84010",NA,NA,NA,NA,-111.8859697,40.8856052,"364 s 200 w, bountiful, ut 84010, usa",NA
Kaiser's Bar-B-Q,NA,NA,NA,NA,NA,NA,(801) 355-0499,NA,NA,NA,NA,NA,"962 S 300th W Salt Lake City, UT 84101",NA,NA,NA,NA,-111.8999812,40.7481838,"962 s 300 w, salt lake city, ut 84101, usa",NA
Miss Essie's Southern BBQ,NA,NA,NA,NA,NA,NA,(801) 262-3616,NA,NA,NA,NA,NA,"6064 S 300th W Ste 11 Murray, UT 84107",NA,NA,NA,NA,-111.8989096,40.6391584,"6064 300 w #11, murray, ut 84107, usa",NA
Sauce Boss Southern Kitchen,NA,NA,NA,NA,NA,NA,(385) 434-2433,NA,NA,NA,NA,NA,"877 E 12300th S Draper, UT 84020",NA,NA,NA,NA,-111.866966,40.5271953,"877 e 12300 s, draper, ut 84020, usa",NA
Snider Bros Meats,NA,NA,NA,NA,NA,NA,(801) 272-6469,NA,NA,NA,NA,NA,"6245 Highland Dr Salt Lake City, UT 84121",NA,NA,NA,NA,-111.8330572,40.6376463,"6245 highland dr., salt lake city, ut 84121, usa",NA
Pat's BBQ,NA,NA,NA,NA,NA,NA,(801) 484-5963,NA,NA,NA,NA,NA,"155 W Commonwealth Ave Salt Lake City, UT 84115",NA,NA,NA,NA,-111.8955303,40.7243187,"155 w commonwealth ave, south salt lake, ut 84115, usa",NA
Sugar House BBQ,NA,NA,NA,NA,NA,NA,(801) 463-4800,NA,NA,NA,NA,NA,"880 E 2100th S Salt Lake City, UT 84106",NA,NA,NA,NA,-111.8656771,40.7252181,"880 e 2100 s, salt lake city, ut 84106, usa",NA
Matchstick Bar & Grill,NA,NA,NA,NA,NA,NA,(385) 227-8376,NA,NA,NA,NA,NA,"2000 W 3500 S West Valley, UT 84119",NA,NA,NA,NA,-111.9446831,40.6968799,"2000 w 3500 s, west valley city, ut 84119, usa",NA
Over the Coles BBQ at Block Party,NA,NA,NA,NA,NA,NA,(801) 987-8406,NA,NA,NA,NA,NA,"4044 S 2700th E Holladay, UT 84124",NA,NA,NA,NA,-111.8156029,40.6839637,"4044 s 2700 e, holladay, ut 84124, usa",NA
Bumblebees BBQ & Grill,NA,NA,NA,NA,NA,NA,(801) 561-0608,NA,NA,NA,NA,NA,"7962 S State St Midvale, UT 84047",NA,NA,NA,NA,-111.891227,40.6066108,"7962 s state st, midvale, ut 84047, usa",NA
