Restaurant,POC...2,Surplus,Solution,Lead,Employee + Position,Their email,Decision Maker,Phone Number,Status,Last PoC Date,"Shop category (pizzeria RM, pizzeria MTO, fast casual RM, fast casual MTO, bakery, donut shop, cafe, bagels shop, grocer, grab n' go)",# of locations,Ownership,Address,POC...16,Physically Visited? Y/N,"Last Poc Type (in-person, call, email)",Touchpoint #,Next Visit Date,"Type(A,B,C)","Phone (store, cell)",Their position,Decision Maker Email,Notes,lon,lat,address,status_Color
The Cupcake Doctor,Jack,yes,no,L1,Rachel - EE,NA,NA,(719) 271-0990,NA,NA,bakery,NA,NA,"3312 Austin Bluffs Pkwy Colorado Springs, CO 80918",NA,NA,NA,NA,NA,NA,NA,NA,NA,they used to give to homeless but can't do that anymore due to policy change/have surplus/turn cake surplus into frozen cake sticks/other EE was short and said they don't have surplus and wouldn't put the manager on,-104.7657446,38.89110710000001,"3312 austin bluffs pkwy, colorado springs, co 80918, usa",orange
Rocky Mountain Beignets,Jack,NA,NA,L0,NA,NA,NA,(225) 435-4369,NA,NA,bakery,NA,NA,"724 Manitou Ave Manitou Springs, CO 80829",NA,NA,NA,NA,NA,NA,NA,NA,NA,"called 2x, STVM",-104.9152734,38.8574101,"724 manitou ave, manitou springs, co 80829, usa",black
Sasquatch Cookies,Jack,yes,yes,lost,rebecca,NA,NA,(719) 632-5196,NA,NA,bakery,NA,NA,"1020 E Jefferson St Colorado Springs, CO 80907",NA,NA,NA,NA,NA,NA,NA,NA,NA,donate 100p of surplus to homeless shelters,-104.8097555,38.8629238,"1020 e jefferson st, colorado springs, co 80907, usa",red
Third Space Coffee,Jack,no,NA,L1,jason,NA,NA,(719) 465-1657,NA,NA,cafe,NA,NA,"5670 Academy Blvd N Colorado Springs, CO 80918",NA,NA,NA,NA,NA,NA,NA,NA,NA,premade and mto food/said premade all gets sold/sometimes they sell out/could be a case for stocking more shelves,-104.7880769,38.9130592,"5670 n academy blvd, colorado springs, co 80918, usa",orange
La Baguette- Old Colorado City,Jack,yes,yes,L1,julian,NA,NA,(719) 577-4818,NA,NA,cafe,NA,NA,"2417 W Colorado Ave Colorado Springs, CO 80904",NA,NA,NA,NA,NA,NA,NA,NA,NA,gives surplus to homeless shelters/sells day old croissants we can sell on GB,-104.8622221,38.8465243,"2417 w colorado ave, colorado springs, co 80904, usa",orange
Kneaders Bakery and Cafe,Jack,yes,no,L0,NA,feedback@kneaders.com,NA,(719) 434-4126,SEM,45247,cafe,NA,corporate,"13482 Bass Pro Dr Colorado Springs, CO 80921",NA,NA,NA,NA,NA,NA,NA,NA,NA,we need to reach out to corporate,-104.8250101,39.0273838,"13482 bass pro dr, colorado springs, co 80921, usa",black
Lee's Sandwiches,Jack,yes,yes,L1,NA,NA,NA,(719) 344-9344,NA,NA,cafe,NA,NA,"5660 Barnes Rd Colorado Springs, CO 80917",NA,NA,NA,NA,NA,NA,NA,NA,NA,gives surplus to EEs/pasteries and pre-made food/croissants sell as day olds in bfast sammys,-104.7225777,38.8949471,"5660 barnes rd, colorado springs, co 80917, usa",orange
Donut Mill,Jack,yes,no,L0,NA,NA,NA,(719) 687-9793,NA,NA,bakery,NA,NA,"310 W Midland Ave Woodland Park, CO 80863",NA,NA,NA,NA,NA,NA,NA,NA,NA,doesn't have a solution/said he's not interested in a solution for their surplus,-105.0561524,38.9943676,"310 w midland ave, woodland park, co 80863, usa",black
Shipley's Do-Nuts,Jack,yes,no,L2,Amanda,NA,Suki,719-213-7144,NA,NA,bakery,NA,NA,"7955 Fountain Mesa Rd Ste 100 Fountain, CO 80817",NA,NA,NA,NA,NA,NA,NA,NA,NA,suki said they throw out donuts and is interested in a solution/will get back to me after talking w other owner,-104.7010115,38.7172251,"7955 fountain mesa rd #100, fountain, co 80817, usa",blue
Shuga's,Jack,No,NA,lost,NA,NA,NA,(719) 328-1412,NA,NA,fast casual mto,NA,NA,"702 S Cascade Ave Colorado Springs, CO 80903",NA,NA,NA,NA,NA,NA,NA,NA,NA,spoke w kevin the manager/mto and doesn't have food waste,-104.8261963,38.8243026,"702 s cascade ave, colorado springs, co 80903, usa",red
Border Burger Bar,Jack,yes,no,L0,Nicki,NA,NA,(719) 685-3287,NA,NA,fast casual mto,NA,NA,"934 Manitou Ave Ste 102 Manitou Springs, CO 80829",NA,NA,NA,NA,NA,NA,NA,NA,NA,Said they have food waste but since its slowing down in the winter would be interested in a solution in the spring,-104.9178443,38.8595064,"934 manitou ave ste 102, manitou springs, co 80829, usa",black
Ziggi's Coffee,Jack,yes,no,L1,Colton - EE,NA,NA,(719) 309-1630,NA,NA,cafe,NA,NA,"7636 Dublin Blvd Colorado Springs, CO 80923",NA,NA,NA,NA,NA,NA,NA,NA,NA,have surplus that they throw out when it goes bad,-104.684913,38.927354,"7636 dublin blvd, colorado springs, co 80923, usa",orange
Buffalo Gals Grilling,Jack,NA,NA,L0,NA,NA,NA,(719) 635-0200,NA,NA,NA,NA,NA,"1701 S 8th St Colorado Springs, CO 80905",NA,NA,NA,NA,NA,NA,NA,NA,NA,LVM w mngr,-104.8404476,38.8087385,"1701 s 8th st, colorado springs, co 80905, usa",black
Taste of Philly,Jack,NA,NA,L0,NA,NA,NA,(719) 638-0020,NA,NA,fast casual mto,NA,NA,call in the morn for mngr,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,black
Lebowski's Tap Room,Jack,NA,NA,L0,NA,NA,NA,(719) 374-4987,NA,NA,NA,NA,NA,"3240 Centennial Blvd Colorado Springs, CO 80907",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-104.8473089,38.87665800000001,"3240 centennial blvd, colorado springs, co 80907, usa",black
Delicias Bakery,Jack,yes,yes,lost,NA,NA,NA,(787) 241-7218,NA,NA,bakery,NA,NA,"2519 E Saint Vrain St Colorado Springs, CO 80909",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-104.7817786,38.8393624,"2519 e st vrain st, colorado springs, co 80909, usa",red
Smallcakes a Cupcakery,Jack,yes,no,L0,NA,NA,Jessica,(719) 266-0000,NA,NA,bakery,NA,NA,"7335 N Academy Blvd Colorado Springs, CO 80920",NA,NA,NA,NA,NA,NA,NA,NA,NA,Jessica is the owner/gave my info to be called back,-104.7970158,38.9374948,"7335 n academy blvd, colorado springs, co 80920, usa",black
Outside the Breadbox,Jack,yes,no,L2,Kaylee,erik@outsidethebreadbox.com,Eric,(719) 633-3434,SEM,NA,bakery,NA,NA,"2027 W Colorado Ave Colorado Springs, CO 80904",NA,NA,NA,NA,NA,NA,NA,NA,Eric,sells day old food frozen,-104.8566323,38.8430535,"2027 w colorado ave, colorado springs, co 80904, usa",blue
Sweet Elizabeth's Organics,Jack,yes,no,L2,Elizabeth,Info@sweetelizabethsorganics.com,NA,(719) 358-7659,SEM,45247,bakery,NA,NA,"1625 W Uintah St Colorado Springs, CO 80904",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-104.8439504,38.84748070000001,"1625 w uintah st, colorado springs, co 80904, usa",blue
Bellas Bakery,Jack,yes,no,L2,Heather,heather@bellasmacaroon.com,NA,(720) 708-2049,NA,NA,NA,NA,NA,"3582 Blue Horizon Vw Ste 148 Colorado Springs, CO 80924",NA,NA,NA,NA,NA,NA,NA,NA,heather,She composts a ton egg yoke at the end of the night,-104.759915,38.983968,"3582 blue horizon vw #148, colorado springs, co 80924, usa",blue
Wildflour Baking Company,Jack,NA,NA,L0,NA,NA,NA,(719) 374-6363,NA,NA,bakery,NA,NA,"112 S Elm St Woodland Park, CO 80863",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-105.0594043,38.99360619999999,"112 elm st, woodland park, co 80863, usa",black
The Exchange,Jack,yes,no,L0,NA,NA,NA,(719) 635-0277,NA,NA,NA,NA,NA,"2750 S Academy Blvd #110, Colorado Springs, CO 80916",NA,NA,NA,NA,NA,NA,NA,NA,NA,call before noon,-104.7590179,38.7925285,"2750 s academy blvd #110, colorado springs, co 80916, usa",black
Olde World Bakery,Jack,NA,NA,L0,NA,www.oldeworldbagel.com,NA,(719) 527-9651,NA,45245,NA,NA,NA,"1670 E Cheyenne Mtn Blvd Colorado Springs, CO 80906",NA,NA,NA,NA,NA,NA,NA,NA,NA,LVM/stvm,-104.802673,38.79408120000001,"1670 e cheyenne mountain blvd, colorado springs, co 80906, usa",black
Solar Roast Coffee,Jack,NA,NA,L0,Rosie - EE,info@solarroastcoffee.com,NA,(719) 544-3515,NA,NA,cafe,NA,NA,"134 N Tejon St Colorado Springs, CO 80903",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-104.823616,38.836529,"134 n tejon st, colorado springs, co 80903, usa",black
Kawa Coffee,Jack,no,NA,lost,NA,NA,NA,(719) 473-5292,NA,NA,cafe,NA,NA,"2427 N Union Blvd Colorado Springs, CO 80909",NA,NA,NA,NA,NA,NA,NA,NA,NA,no food waste,-104.7940351,38.8670483,"2427 n union blvd, colorado springs, co 80909, usa",red
Billy Old World Pizza,Jack,no,NA,stalled,NA,NA,NA,(719) 630-3400,NA,NA,pizza mto,NA,NA,"308 S 8th St Ste E Colorado Springs, CO 80905",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-104.8419505,38.8309487,"308 s 8th st e, colorado springs, co 80904, usa",brown
Upstate Pizzeria,Jack,yes,no,L0,Rich,NA,NA,(719) 212-1090,NA,NA,NA,NA,NA,"19 N Tejon St, Colorado Springs, CO 80903",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-104.8229908,38.8347777,"19 n tejon st, colorado springs, co 80903, usa",black
Old Chicago pizza & taproom,Jack,no,NA,L0,NA,NA,NA,NA,NA,NA,pizza mto,NA,NA,"3190 New Center Point, Colorado Springs, CO 80922",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-104.7192899,38.8795208,"3190 new center point, colorado springs, co 80922, usa",black
Pizza Time,Jack,no,NA,L0,NA,NA,NA,NA,NA,NA,pizza mto,NA,NA,"8794 N Union Blvd, Colorado Springs, CO 80920",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-104.7649925,38.9591619,"8794 n union blvd, colorado springs, co 80920, usa",black
Papa Murphy's Take n Bake,Jack,no,NA,L0,NA,NA,NA,NA,NA,NA,pizza mto,NA,NA,"6888 Centennial Blvd, Colorado Springs, CO 80919",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-104.8655809,38.9305358,"6888 centennial blvd, colorado springs, co 80919, usa",black
Dions,Jack,yes,no,L2,NA,Jonah hunt gnrl mngr,NA,NA,NA,NA,pizza rm,NA,NA,"6385 Source Center Point, Colorado Springs, CO 80923",NA,NA,NA,NA,NA,NA,NA,NA,NA,They throw out slices after 2 hours per health code,-104.7204448,38.9257089,"6385 source center point, colorado springs, co 80923, usa",blue
Mactory gourmet,Jack,yes,no,L0,Irvin,Mactoryllc@gmail.com,NA,NA,NA,NA,NA,NA,NA,"125 N Spruce St, Colorado Springs, CO 80905",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-104.8321921,38.8363745,"125 n spruce st, colorado springs, co 80905, usa",black
Heart of Jerusalem Cafe,Jack,no,NA,lost,NA,NA,NA,719-227-3989,NA,45245,fast casual mto,NA,NA,"3242 Centennial Blvd, Colorado Springs, CO 80907",NA,NA,NA,NA,NA,NA,NA,NA,NA,spoke w manager/no food waste/mto,-104.8473089,38.8767378,"3242 centennial blvd, colorado springs, co 80907, usa",red
Kairos Coffee House,Jack,minimal,no,L2,Laura,info@kairoscoffeehouse.com,Laura,719-226-5150,SEM,NA,NA,NA,NA,"505 Popes Bluff Trail, Colorado Springs, CO 80907",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-104.8337993,38.8991411,"505 popes bluff trail, colorado springs, co 80907, usa",blue
Dickey's BBQ Pit,Jack,yes,no,L2,Barb,dickeys759@comcast.net,NA,(719) 598-1909,SEM,NA,NA,NA,corporate,"7935 Constitution Ave, Colorado Springs, CO 80951",NA,NA,NA,NA,NA,NA,NA,NA,NA,Barb is the store manager nad said corporate doesn't allow reselling/reaching out over email,-104.6785059,38.867092,"7935 constitution ave, colorado springs, co 80951, usa",blue
