LOCATION,Country,INDICATOR,Indicator,SUBJECT,Subject,MEASURE,Measure,FREQUENCY,Frequency,TIME_PERIOD,Time,OBS_VALUE,Observation Value,OBS_STATUS,Observation Status,UNIT_MEASURE,Unit of Measures,UNIT_MULT,Multiplier,BASE_PER,Base reference period
SVK,Slovak Republic,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,1998,,40.67296,,A,,,,,,,
POL,Poland,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,1998,,43.25093,,A,,,,,,,
DEU,Germany,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,1998,,61.37116,,A,,,,,,,
DNK,Denmark,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,1998,,72.57378,,A,,,,,,,
CZE,Czechia,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,1998,,17.89941,,A,,,,,,,
BEL,Belgium,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,1998,,139.397,,A,,,,,,,
AUT,Austria,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,1998,,67.11701,,A,,,,,,,
EST,Estonia,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,1996,,12.11695,,A,,,,,,,
GBR,United Kingdom,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,1996,,53.23085,,A,,,,,,,
NLD,Netherlands,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,1996,,84.64011,,A,,,,,,,
ITA,Italy,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,1996,,124.8419,,A,,,,,,,
HUN,Hungary,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,1996,,75.94808,,A,,,,,,,
DEU,Germany,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,1999,,61.63823,,A,,,,,,,
DNK,Denmark,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,1999,,67.09554,,A,,,,,,,
CZE,Czechia,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,1999,,23.71132,,A,,,,,,,
BEL,Belgium,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,1999,,127.9947,,A,,,,,,,
AUT,Austria,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,1999,,70.72529,,A,,,,,,,
IRL,Ireland,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,1999,,50.39846,,A,,,,,,,
HUN,Hungary,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,1997,,66.11561,,A,,,,,,,
ESP,Spain,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,1997,,73.68642,,A,,,,,,,
SVK,Slovak Republic,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,1997,,38.34319,,A,,,,,,,
POL,Poland,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,1997,,47.54287,,A,,,,,,,
IRL,Ireland,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2000,,38.67173,,A,,,,,,,
GRC,Greece,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2000,,112.5661,,A,,,,,,,
ISL,Iceland,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2003,,65.33788,,A,,,,,,,
LUX,Luxembourg,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2003,,19.47582,,A,,,,,,,
FRA,France,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2003,,79.07757,,A,,,,,,,
CZE,Czechia,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2003,,33.31659,,A,,,,,,,
CAN,Canada,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2003,,99.89417,,A,,,,,,,
AUS,Australia,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2003,,33.99129,,A,,,,,,,
EST,Estonia,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2003,,8.357324,,A,,,,,,,
GBR,United Kingdom,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2003,,50.2458,,A,,,,,,,
CHE,Switzerland,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2003,,57.04066,,A,,,,,,,
NLD,Netherlands,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2003,,59.95691,,A,,,,,,,
ITA,Italy,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2003,,113.9346,,A,,,,,,,
EST,Estonia,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2004,,8.347772,,A,,,,,,,
GBR,United Kingdom,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2004,,53.54976,,A,,,,,,,
CHE,Switzerland,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2004,,58.25164,,A,,,,,,,
NLD,Netherlands,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2004,,60.27139,,A,,,,,,,
ITA,Italy,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2004,,114.5841,,A,,,,,,,
SVN,Slovenia,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2004,,35.18146,,A,,,,,,,
HUN,Hungary,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2004,,64.68185,,A,,,,,,,
DEU,Germany,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2004,,69.56866,,A,,,,,,,
USA,United States,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2002,,80.4574,,A,,,,,,,
SWE,Sweden,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2002,,66.10365,,A,,,,,,,
PRT,Portugal,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2002,,71.81933,,A,,,,,,,
NOR,Norway,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2002,,39.11102,,A,,,,,,,
JPN,Japan,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2002,,157.0952,,A,,,,,,,
LVA,Latvia,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2002,,15.86893,,A,,,,,,,
LUX,Luxembourg,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2002,,18.24487,,A,,,,,,,
FRA,France,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2002,,75.16156,,A,,,,,,,
CZE,Czechia,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2002,,30.58475,,A,,,,,,,
CAN,Canada,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2002,,104.2622,,A,,,,,,,
AUS,Australia,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2002,,36.75184,,A,,,,,,,
ISR,Israel,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2006,,82.51233,,A,,,,,,,
CHL,Chile,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2006,,13.23223,,A,,,,,,,
ESP,Spain,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2006,,46.09558,,A,,,,,,,
SVK,Slovak Republic,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2006,,37.59237,,A,,,,,,,
POL,Poland,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2006,,54.96175,,A,,,,,,,
MEX,Mexico,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2006,,40.2372,,A,,,,,,,
FIN,Finland,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2006,,45.1153,,A,,,,,,,
DNK,Denmark,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2006,,40.49266,,A,,,,,,,
BEL,Belgium,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2006,,101.0699,,A,,,,,,,
AUT,Austria,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2006,,72.68636,,A,,,,,,,
GRC,Greece,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2001,,116.2653,,A,,,,,,,
LTU,Lithuania,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2001,,33.54134,,A,,,,,,,
USA,United States,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2001,,74.78939,,A,,,,,,,
PRT,Portugal,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2001,,69.68221,,A,,,,,,,
SWE,Sweden,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2001,,65.88914,,A,,,,,,,
NOR,Norway,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2001,,31.83274,,A,,,,,,,
JPN,Japan,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2001,,146.8432,,A,,,,,,,
SVN,Slovenia,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2005,,34.48221,,A,,,,,,,
HUN,Hungary,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2005,,67.57113,,A,,,,,,,
DEU,Germany,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2005,,72.17012,,A,,,,,,,
ISR,Israel,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2005,,92.31969,,A,,,,,,,
CHL,Chile,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2005,,16.43288,,A,,,,,,,
ESP,Spain,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2005,,50.47991,,A,,,,,,,
POL,Poland,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2005,,55.25204,,A,,,,,,,
SVK,Slovak Republic,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2005,,39.90452,,A,,,,,,,
SVN,Slovenia,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2021,,89.84145,,A,,,,,,,
DEU,Germany,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2021,,79.1457,,A,,,,,,,
OECD,OECD - Total,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2021,,120.85,,A,,,,,,,
ISR,Israel,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2021,,83.04176,,A,,,,,,,
GBR,United Kingdom,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2021,,142.6497,,A,,,,,,,
ESP,Spain,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2021,,140.8358,,A,,,,,,,
POL,Poland,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2021,,68.00846,,A,,,,,,,
NLD,Netherlands,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2021,,65.63169,,A,,,,,,,
ITA,Italy,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2021,,171.4067,,A,,,,,,,
MEX,Mexico,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2007,,43.64458,,A,,,,,,,
DNK,Denmark,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2007,,34.59382,,A,,,,,,,
BEL,Belgium,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2007,,94.63382,,A,,,,,,,
AUT,Austria,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2007,,68.96463,,A,,,,,,,
FIN,Finland,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2007,,41.08472,,A,,,,,,,
IRL,Ireland,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2007,,27.4756,,A,,,,,,,
HUN,Hungary,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2009,,84.90647,,A,,,,,,,
GRC,Greece,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2009,,135.5171,,A,,,,,,,
LTU,Lithuania,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2009,,34.18004,,A,,,,,,,
USA,United States,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2009,,115.4449,,A,,,,,,,
SWE,Sweden,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2009,,55.97437,,A,,,,,,,
PRT,Portugal,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2009,,97.63227,,A,,,,,,,
NOR,Norway,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2009,,48.61238,,A,,,,,,,
JPN,Japan,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2009,,199.3707,,A,,,,,,,
USA,United States,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2010,,125.3343,,A,,,,,,,
SWE,Sweden,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2010,,53.35212,,A,,,,,,,
PRT,Portugal,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2010,,105.6683,,A,,,,,,,
NOR,Norway,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2010,,48.9698,,A,,,,,,,
JPN,Japan,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2010,,204.4223,,A,,,,,,,
LVA,Latvia,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2010,,53.9806,,A,,,,,,,
ISL,Iceland,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2010,,162.7741,,A,,,,,,,
LUX,Luxembourg,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2010,,27.11616,,A,,,,,,,
KOR,Korea,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2010,,42.37439,,A,,,,,,,
FRA,France,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2010,,100.9953,,A,,,,,,,
CZE,Czechia,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2010,,44.05919,,A,,,,,,,
CAN,Canada,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2010,,107.4411,,A,,,,,,,
AUS,Australia,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2010,,41.51521,,A,,,,,,,
EST,Estonia,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2012,,13.11515,,A,,,,,,,
CHE,Switzerland,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2012,,43.73183,,A,,,,,,,
OAVG,OECD - Average,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2012,,78.99,,A,,,,,,,
SVN,Slovenia,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2012,,62.35575,,A,,,,,,,
DEU,Germany,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2012,,89.12225,,A,,,,,,,
IRL,Ireland,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2008,,47.29154,,A,,,,,,,
HUN,Hungary,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2008,,75.74636,,A,,,,,,,
GRC,Greece,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2008,,117.6431,,A,,,,,,,
EST,Estonia,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2020,,24.76317,,A,,,,,,,
CHE,Switzerland,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2020,,43.79375,,A,,,,,,,
SWE,Sweden,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2020,,63.21268,,A,,,,,,,
OAVG,OECD - Average,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2020,,93.35,,A,,,,,,,
SVN,Slovenia,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2020,,100.5124,,A,,,,,,,
DEU,Germany,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2020,,81.55667,,A,,,,,,,
ISL,Iceland,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2011,,168.9646,,A,,,,,,,
LUX,Luxembourg,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2011,,26.61809,,A,,,,,,,
KOR,Korea,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2011,,45.30499,,A,,,,,,,
FRA,France,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2011,,103.8066,,A,,,,,,,
CZE,Czechia,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2011,,46.98329,,A,,,,,,,
CAN,Canada,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2011,,111.1054,,A,,,,,,,
AUS,Australia,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2011,,45.62855,,A,,,,,,,
NZL,New Zealand,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2011,,42.37,,A,,,,,,,
EST,Estonia,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2011,,9.47638,,A,,,,,,,
CHE,Switzerland,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2011,,43.22593,,A,,,,,,,
USA,United States,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2018,,137.3158,,A,,,,,,,
SVK,Slovak Republic,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2018,,63.33188,,A,,,,,,,
PRT,Portugal,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2018,,137.2438,,A,,,,,,,
NOR,Norway,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2018,,45.05331,,A,,,,,,,
JPN,Japan,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2018,,234.1849,,A,,,,,,,
LVA,Latvia,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2018,,46.29624,,A,,,,,,,
COL,Colombia,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2018,,88.96687,,A,,,,,,,
ISL,Iceland,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2018,,95.43044,,A,,,,,,,
LUX,Luxembourg,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2018,,29.03322,,A,,,,,,,
KOR,Korea,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2018,,50.41999,,A,,,,,,,
FRA,France,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2018,,120.7428,,A,,,,,,,
CZE,Czechia,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2018,,40.11501,,A,,,,,,,
CAN,Canada,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2018,,109.8399,,A,,,,,,,
AUS,Australia,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2018,,66.76436,,A,,,,,,,
ISL,Iceland,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2019,,98.95798,,A,,,,,,,
LUX,Luxembourg,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2019,,30.67719,,A,,,,,,,
KOR,Korea,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2019,,52.6506,,A,,,,,,,
FRA,France,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2019,,123.0546,,A,,,,,,,
CZE,Czechia,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2019,,37.83284,,A,,,,,,,
CAN,Canada,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2019,,111.8826,,A,,,,,,,
AUS,Australia,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2019,,76.43507,,A,,,,,,,
NZL,New Zealand,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2019,,34.15,,A,,,,,,,
EST,Estonia,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2019,,13.55965,,A,,,,,,,
CHE,Switzerland,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2019,,40.06843,,A,,,,,,,
SWE,Sweden,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2019,,56.57956,,A,,,,,,,
SVN,Slovenia,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2013,,78.95632,,A,,,,,,,
DEU,Germany,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2013,,84.48105,,A,,,,,,,
OECD,OECD - Total,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2013,,105.12,,A,,,,,,,
ISR,Israel,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2013,,77.11174,,A,,,,,,,
CHL,Chile,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2013,,19.03183,,A,,,,,,,
GBR,United Kingdom,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2013,,104.714,,A,,,,,,,
ESP,Spain,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2013,,111.2557,,A,,,,,,,
POL,Poland,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2013,,67.12426,,A,,,,,,,
NLD,Netherlands,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2013,,78.84424,,A,,,,,,,
ITA,Italy,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2013,,143.2379,,A,,,,,,,
HUN,Hungary,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2017,,93.22548,,A,,,,,,,
GRC,Greece,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2017,,192.9892,,A,,,,,,,
USA,United States,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2017,,135.4422,,A,,,,,,,
SVK,Slovak Republic,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2017,,65.34399,,A,,,,,,,
PRT,Portugal,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2017,,143.1314,,A,,,,,,,
NOR,Norway,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2017,,44.29213,,A,,,,,,,
JPN,Japan,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2017,,230.3029,,A,,,,,,,
CHL,Chile,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2014,,22.3754,,A,,,,,,,
GBR,United Kingdom,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2014,,114.4458,,A,,,,,,,
ESP,Spain,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2014,,123.822,,A,,,,,,,
ISR,Israel,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2014,,77.79097,,A,,,,,,,
POL,Poland,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2014,,71.88672,,A,,,,,,,
NLD,Netherlands,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2014,,83.28281,,A,,,,,,,
ITA,Italy,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2014,,155.6982,,A,,,,,,,
