Name,Status,Last PoC Date,"Shop category (pizzeria RM, pizzeria MTO, fast casual RM, fast casual MTO, bakery, donut shop, cafe, bagels shop, grocer, grab n' go)",# of locations,Ownership,Address,POC,Physically Visited? Y/N,"Last Poc Type (in-person, call, email)",Touchpoint #,Next Visit Date,"Type(A,B,C)",Lead,"Phone (store, cell)",Name of who you talked to,Their position...17,Their email,Decision Maker Name,Their position...20,Decision Maker Email,Notes,...23,...24,...25,...26,lon,lat,address,status_Color
Hearth,C1,19-Oct,Bakery,1,NA,"2500 Lawrence St 200 Denver, CO 80205",Jack,Y,email,2,NA,A,1,NA,Matt,Founder,matt@hearthdenver.com,NA,NA,NA,"Matt is Jack's college friend / he is down but has to run it by the baristas / wants me to go to a staff meeting and show the platform / sells to retail locations and has a ""no day old"" clause that prevents them from selling his products the next day /",NA,NA,NA,NA,-104.9850283,39.7568677,"2500 lawrence st #200, denver, co 80205, usa",lightblue
Brooklyns Finest Pizza,L2,26-Oct,Pizza,NA,NA,"825 16th St Mall Denver, CO 80202",Eddy,Y,email,3,NA,A,1,(303) 573-3779,Kayla,Manager,NA,CArlo,Owner,brooklynsfinestpizza303@gmail.com (bounced),"Donate? ----- ""We do not... unfortunately"" (revisit in person) Carlo = owner",NA,NA,NA,NA,-104.9935147,39.7463664,"825 16th st mall, denver, co 80202, usa",pink
Parlor Doughnuts,C1,24-Oct,donut shop,1,NA,"95 Lincoln St Denver, CO 80203",Eddy,Y,call,3,NA,A,1,3038628904,Dan,Employee,NA,Sean,Owner,CO0028@parlordoughnuts.com,spoke to sean and john on the phone at length and sounds like they're interested! Running it by their franchise owner and will get back to us,NA,NA,NA,NA,-104.986462,39.718208,"95 lincoln st, denver, co 80203, usa",lightblue
Park Burger RiNo,C1,19-Oct,fast casual MTO,1,corporate,"2615 Walnut St Denver, CO 80205",Jack,Y,email,2,NA,B,2,n/a,marisa,assistant general manager,mfoley@gastamogroup.com,idk,n/a,n/a,Have orders that aren't picked up from 3rd party delivery apps,NA,NA,NA,NA,-104.9861768,39.7596633,"2615 walnut st, denver, co 80205, usa",lightblue
Pandemic Donuts,C1,23-Oct,NA,NA,NA,"2962 Welton St Denver, CO 80205",Eddy,Y,email,3,NA,A,1,NA,NA,NA,NA,Michael,owner,michael@pandemicdonuts.com,Michael & wife started pandemic donuts,NA,NA,NA,NA,-104.9744025,39.7573538,"2962 welton st, denver, co 80205, usa",lightblue
Ti Cafe,C1,17-Oct,Cafe,NA,NA,"30 N Broadway Denver, CO 80203",Eddy,Y,Email,2,NA,A,1,NA,Shominic,Employee,NA,NA,Ownder,ti.cafeofficial@gmail.com,"Loves Idea. Owner not there. Sent email, waiting on response.",NA,NA,NA,NA,-104.987177,39.7172627,"30 n broadway, denver, co 80203, usa",lightblue
Lula Rose,L2,23-Oct,Cafe,NA,NA,"3434 E Colfax Ave, Denver, CO 80206-1802",Eddy,Y,email,2,NA,A,1,NA,Andrew,manager,andrewnorma@gmail.com,NA,NA,NA,have surplus burritos and pastries / seemed  down / Local owners that also own good break bake shop,NA,NA,NA,NA,-104.9464123,39.7398867,"3434 e colfax ave, denver, co 80206, usa",pink
Bakery Four,C1,19-Oct,Bakery,1,NA,"3350 Brighton Blvd 140 Denver, CO 80216",Eddy,Y,instagram,2,NA,A,1,NA,Shawn,Founder,Shawn@bakeryfour.com,NA,NA,NA,Shawn is a great guy who knew about TGTG but didn't join bc their marketing was weak / has 30-40 items in surplus everyday / said to DM on instagram / opening another location,NA,NA,NA,NA,-104.9796081,39.76863609999999,"3350 brighton blvd #140, denver, co 80216, usa",lightblue
Baked N' Denver,C1,18-Oct,Bakery,1,NA,"1301 S Broadway Denver, CO 80210",Luke,Y,In Person,2,October 23rd,A,1,303.777.9361,Hakim,NA,NA,Hakim or Juan?,NA,donutsdenver@gmail.com,"Hakim or Juan (owner) is ready to set up on monday! (11 am) / Wasn't there on monday / Called tuesday: they knew who it was, told me he'll be calling me.",NA,NA,NA,NA,-104.9877948,39.6928588,"1301 s broadway, denver, co 80210, usa",lightblue
Novo Coffee,C1,23-Oct,Cafe,4,NA,"1600 Glenarm Pl Denver, CO 80202",Eddy,Y,email,3,NA,A,1,NA,Chris,Gilpin manager,gilpin@novocoffee.com,Heather,retail manager,retail@novocoffee.com,"4 locations, looking for a solution :) / #4 when calling gilpin",NA,NA,NA,NA,-104.9900451,39.7439075,"1600 glenarm place, 1600 glenarm pl, denver, co 80202, usa",lightblue
under the umbrella,C1,25-Oct,bakery,1,NA,"3507 E 12th Ave Denver, CO 80206",Eddy,Y,call,3,NA,A,1,NA,Bekah,manager,NA,Jill,owner,utucafe@gmail.com,"talekd to becka, seems interested / jill asked for email",NA,NA,NA,NA,-104.9458652,39.7352599,"3507 e 12th ave, denver, co 80206, usa",lightblue
Thump Coffee,C1,24-Oct,cafe,NA,NA,"1201 E 13th Ave Denver, CO 80218",Eddy,Y,email,2,NA,A,1,NA,Paige,employee,NA,Andy,NA,andy@thumpcoffee.com,they have surplus and don't have a solution - the employee was all about it,NA,NA,NA,NA,-104.9728066,39.7370362,"1201 e 13th ave, denver, co 80218, usa",lightblue
Vital Root,L2,24-Oct,grab n' go,3,NA,"3915 Tennyson St Denver, CO 80212",Eddy,Y,email,2,NA,A,1,603-454-4757 (S),Sarah,Assistant GM,vitalroot.sarah@ediblebeats.com / vitalroot.kyle@ediblebeats.com,Aidan,Operations,aidan@ediblebeats.com,"Sarah said they have a use case and would be interested, CC Kyle the executive chef and Aidan who would spearhead this partnership / they are under a company called edible beats / talked to madison the employee as well",NA,NA,NA,NA,-105.0443032,39.7714113,"3915 tennyson st, denver, co 80212, usa",pink
Voodoo Doughnut (Colfax),L2,23-Oct,donut shop,NA,NA,"1520 E Colfax Ave Denver, CO 80218",Eddy,Y,email,3,NA,A,1,720-397-9847,Nate,GM,nate@voodoodoughnut.com,NA,NA,NA,interested - they try to sell day olds in a bag already,NA,NA,NA,NA,-104.9692217,39.7398111,"1520 e colfax ave, denver, co 80218, usa",pink
Le Bakery,NA,18-Oct,Bakery,NA,NA,"300 E 6th Ave Denver, CO 80203",Jack,Y,Email,2,NA,A,1,3037775151,John,Owner or manager,NA,Also john,NA,lebakerysensual@gmail.com,talked to John (owner) loves idea. Wants an email with more information / waiting on response,NA,NA,NA,NA,-104.9831301,39.7253822,"300 e 6th ave, denver, co 80203, usa",NA
Gateaux pastries,NA,19-Oct,Bakery,1,NA,"1160 N Speer Blvd Denver, CO 80204",Jack,Y,Email,2,NA,A,1,NA,Michelle,Owner,NA,NA,NA,info@gateauxpastries.com,Michelle (owner) said it might be =better at the new location. Wants email with more info. They do theoir own version of goodie bags in store.,NA,NA,NA,NA,-104.9939005,39.7347562,"1160 n speer blvd, denver, co 80204, usa",NA
Tumble Haus,C1,24-Oct,Cafe,1,NA,"1330 W 38th St Denver, CO 80211",Jack,Y,email,2,NA,A,1,(720) 379-3470,Yon,Owner,yon@tumblehaus.com,Yon,Owner,yon@tumblehaus.com,Spoke w yonStoked on goodiebag and he could use it/revamping website & menu/will get set up before our launch/told him we can get him setup in 15mins and he doesn't need his menu set beforehand,NA,NA,NA,NA,-105.0027349,39.7690848,"1330 w 38th ave, denver, co 80211, usa",lightblue
DP Dough,L1,24-Oct,Fast casual MTO,NA,NA,"1228 E Colfax Ave Denver, CO 80218",Eddy,Y,email,2,NA,B,1,NA,Colin,employee,NA,Chris Albert,GM,dpdoughdenver@gmail.com,"email Chris ""Attention: Chris Albert""",NA,NA,NA,NA,-104.9711835,39.7397239,"rosenstock place, 1228 e colfax ave, denver, co 80218, usa",orange
Detour Bakery,L2,NA,Bakery,NA,NA,"1479 S Holly St Denver, CO 80222",Jack,Y,NA,NA,NA,NA,NA,(303) 756-2020,NA,NA,NA,NA,NA,daniel@detourbakery.com,"""Some days we do donate them... to our employees, and other local bsuienss employees""",NA,NA,NA,NA,-104.9224841,39.6896408,"1479 s holly st, denver, co 80222, usa",pink
Izzio Bakery Central Market,L1,23-Oct,Bakery,2+,NA,"2669 Larimer St Denver, CO 80205",Eddy,Y,email,2,NA,A,2,(720)-231-1986 (S?),Lindsey,Denver Central Market Manager,lkuchcinski@izziobakery.com,NA,NA,NA,"They don't sell day olds bc of brand risk, ""something we don't do"" - would have to convince the founder / also talked to Edmundo the employee",NA,NA,NA,NA,-104.9846591,39.7593414,"2669 larimer st, denver, co 80205, usa",orange
La Fillette Bakery,L2,NA,Bakery,NA,NA,"6217 E 14th Ave Denver, CO 80220",Jack,Y,NA,NA,NA,NA,NA,303.355.0022,NA,NA,NA,NA,NA,NA,"""If we do have excess at the end of the day we try to pass them around to staff""",NA,NA,NA,NA,-104.9155669,39.738764,"6217 e 14th ave, denver, co 80220, usa",pink
Lo Dough Bakery,lost,NA,Bakery,NA,NA,"1850 Wazee St 150 Denver, CO 80202",Jack,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,orders@lodoughbakery.com,TGTG Partner,NA,NA,NA,NA,-104.9962233,39.7535655,"1850 wazee st #150, denver, co 80202, usa",red
Tokyo Premium Bakery,NA,18-Oct,Bakery,1,NA,"1540 S Pearl St Denver, CO 80210",Jack,Y,In person,2,NA,A,2,720-531-3784,Kate,Employee,NA,Unkowkn,Owners,NA,"""No we do not donate unfortunately"" - Talked to Kate - passig info along (owners are traditional japanese, concerned with freshness of products",NA,NA,NA,NA,-104.9802089,39.6886115,"1540 s pearl st, denver, co 80210, usa",NA
Reunion Bakery,L1,19-Oct,Bakery,1,NA,"3350 Brighton Blvd 140 Denver, CO 80216",Eddy,Y,email,2,NA,A,2,(720)6209336,Alex,manager,NA,Ishmael,Owners,reunionbreadwholesale@gmail.com,Have surplus and no solution / Alex said they do a good job of limiting waste thru selling to their retail locations,NA,NA,NA,NA,-104.9796081,39.76863609999999,"3350 brighton blvd #140, denver, co 80216, usa",orange
Ban Hand Butter,L1,NA,Bakery,NA,NA,"9935 E Colfax Ave Aurora, CO 80110",Jack,N,NA,NA,NA,NA,NA,(720) 513-9313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-104.8724843,39.7404342,"9935 e colfax ave, aurora, co 80010, usa",orange
Lamar's Donuts,L1,NA,Bakery,NA,NA,"990 W 6th Ave Denver, CO 80204",Jack,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"stephanie, employees take it home - they make extra if they know it's gonna be donated / no consistent donation partner",NA,NA,NA,NA,-104.9994482,39.7254991,"990 w 6th ave, denver, co 80204, usa",orange
Mermaid's Bakery,L1,27-Oct,Bakery,NA,NA,"1543 Champa St Denver, CO 80202",Eddy,Y,email,2,NA,A,2,(303) 534-0956,Bella,employee,NA,Diana,Owner,info@mermaidsbakery.com,"diana = boss, jack = employee / caked MTO, cupcakes surplus on slow days (/tuesday)",NA,NA,NA,NA,-104.994701,39.7463658,"1543 champa st, denver, co 80202, usa",orange
Wooden Spoon,Stalled,19-Oct,Bakery,1,NA,"2418 W 32nd Ave Denver, CO 80211",Eddy,Y,in-person,1,NA,A,2,303-999-0327,James,manager,NA,NA,NA,NA,James said he eats their surplus and brings it to the other places he works at / said he would look thru the website and reach out if they were interested / maybe something they'd do in the new year,NA,NA,NA,NA,-105.016402,39.7619035,"2418 w 32nd ave, denver, co 80211, usa",brown
Petunia Bakeshop,lost,NA,Bakery,NA,NA,"3000 W 23rd Ave Denver, CO 80211",Jack,Y,NA,NA,NA,A,3,(720) 536-5007,NA,NA,NA,NA,NA,petuniabakeshop@outlook.com,donates to local church,NA,NA,NA,NA,-105.0254923,39.7510274,"3000 w 23rd ave, denver, co 80211, usa",red
Omonoia Bakery (No Website),L1,18-Oct,Bakery,1,NA,"2813 E Colfax Ave Denver, CO 80206",Eddy,Y,In Person,1,NA,A,2,(303) 394-9333,Diamond,Mananger,720-394-0161,Paulina,Owner,NA,donates sunday night bc closed . businsess is slow / Talked to diamond the manager and have her number,"Talked to sesme? Owner is Paulina, will be in On wednesday/ call back certian days",NA,NA,NA,-104.9543771,39.7404223,"2813 e colfax ave, denver, co 80206, usa",orange
Miss Mollys Bakery,L2,23-Oct,Bakery,1,NA,"2600 E Colfax Ave Denver, CO 80206",Eddy,Y,email,4,NA,A,2,303-268-1222 (C)?,Georgio,Assistant,NA,Shane,GM/owner?,shane@missmollysbakery.com,something we have been looking into / shane saw my email and said to coordinate a meeting thru there / Georgio said they have surplus,NA,NA,NA,NA,-104.9558151,39.7399807,"2600 e colfax ave, denver, co 80206, usa",pink
my favorite muffin (16th mall),L1,19-Oct,Bakery,1,NA,"1750 16th Street Mall Denver, CO 80202",Eddy,Y,call,2,NA,A,2,(303) 623-0060,Kim,employee,NA,Paul,Owner,NA,"talked to kim - paul = owner, franchise model",NA,NA,NA,NA,-105.0014458,39.752047,"1750 16th st mall, denver, co 80202, usa",orange
City Bakery,L1,NA,Bakery,NA,NA,"5454 Washington St Denver, CO 80216",Jack,N,NA,NA,NA,NA,NA,1 303 292 3989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-104.9774933,39.7965307,"5454 washington st, denver, co 80216, usa",orange
Devils food bakery,NA,19-Oct,Bakery,NA,NA,"1020 S Gaylord St Denver, CO 80209",Jack,Y,In person,2,NA,A,2,303.777.9555,"Don't remember physical visit,",but jacob for phone call,NA,NA,NA,NA,"Jacob - Manager ""I think we donate to a foodbank? I don't know I'm not here that late.""",NA,NA,NA,NA,-104.9615749,39.698032,"1020 s gaylord st, denver, co 80209, usa",NA
Olive and Finch,L1,23-Oct,Cafe,2+,NA,"1552 E 17th Ave Denver, CO 80218",Eddy,Y,call,3,NA,A,2,303.832.8663,Jonda,General Manager,NA,Mary Nyugen,Owner,NA,Danny said they do have surplus and they don't donate (giving information to her manager) / left my name and # several times via phone / #4,Talked to Joda (GM) while viisting in person.,NA,NA,NA,-104.9689559,39.7430907,"1552 e 17th ave, denver, co 80218, usa",orange
House and Bread,L2,NA,Bakery,NA,NA,"2020 S Parker Rd Denver, CO 80231",Jack,N,NA,NA,NA,NA,NA,(720) 727-0000,NA,NA,NA,NA,NA,info@houseofbreadinc.com,"Actively looking for places to donate! Patrina (or catrina?) said to email them! / very east near Aurora, not ideal for launch",NA,NA,NA,NA,-104.8757911,39.6796044,"2020 s parker rd, denver, co 80231, usa",pink
Taste of Denmark,L1,NA,Bakery,NA,NA,"1901 S Kipling St Lakewood, CO 80227",Jack,N,NA,NA,NA,NA,NA,(303) 987-8283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-105.1102566,39.68180419999999,"1901 s kipling st, lakewood, co 80227, usa",orange
Rebel Bread,L1,NA,Bakery,NA,NA,"675 S Broadway Denver, CO 80209",Jack,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-104.9885662,39.7048301,"675 s broadway, denver, co 80209, usa",orange
Owlette Bakery,L1,NA,Bakery,NA,NA,"1530 16th St. Denver, CO 80202",Jack,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"donates everyday, has about a tray a week",NA,NA,NA,NA,-104.9999828,39.7509317,"1530 16th st mall, denver, co 80202, usa",orange
kolache house bakery,L1,NA,NA,NA,NA,"8840 W Colfax Ave Lakewood, CO 80215",Jack,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-105.0972774,39.7398382,"8840 w colfax ave, lakewood, co 80215, usa",orange
Whittier Cafe,L2,NA,Cafe,NA,NA,"1710 E 25th Ave Denver, CO 80205",Jack,N,NA,NA,NA,NA,NA,(720) 550-7440,NA,NA,NA,NA,NA,NA,No donations. Wasted bread for our paninis. Millece (owner) Talked to employee (shea),NA,NA,NA,NA,-104.9668788,39.7530276,"1710 e 25th ave, denver, co 80205, usa",pink
Roostercat Coffee House,L1,17-Oct,Cafe,1,NA,"1045 Lincoln St Denver, CO 80203",Eddy,Y,Email,2,NA,A,2,(720) 388-0356,Logan,Food manager,NA,JJ,Owner,roostercat@gmail.com,x,NA,NA,NA,NA,-104.9864848,39.7329559,"1045 lincoln st, denver, co 80203, usa",orange
The Bardo,L1,NA,Cafe,NA,NA,"238 S Broadway Denver, CO 80209",Eddy,N,NA,NA,NA,NA,NA,(303) 629-8331,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-104.987238,39.7123148,"238 s broadway, denver, co 80209, usa",orange
Blue Sparrow Coffe,L2,17-Oct,Cafe,NA,NA,"3070 Blake St Denver, CO 80205",Jack,Y,In Person,2,NA,A,2,(720) 615-1516,?,NA,NA,NA,NA,manager@bluesparrowcoffee.com,Visited Platte st location and employee gave Daniels phone number (7204480211) Waiting on email back from management,NA,NA,NA,NA,-104.9810503,39.7640929,"3070 blake st, denver, co 80205, usa",pink
Copper Door Coffe Roaster,L1,NA,Cafe,NA,NA,"1085 York St Denver Botanic Gardens Denver, CO 80206",Jack,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-104.9601928,39.7330312,"1085 york st, denver, co 80206, usa",orange
Corvus (south broadway),L1,23-Oct,Cafe,4,NA,"1740 S Broadway Denver, CO 80210",Eddy,Y,email,2,NA,A,2,(303) 715-1740,Jenna,employee,NA,Phil,Owner,info@corvuscoffee.com,"Has surplus, doesn't donate",NA,NA,NA,NA,-104.98723,39.68495800000001,"1740 s broadway, denver, co 80210, usa",orange
Dandy Lion Coffe,L1,NA,Cafe,NA,NA,"5225 E 38th Denver, CO 80207",Jack,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dandylioncoffee@gmail.com,NA,NA,NA,NA,NA,-104.9264824,39.7694043,"5225 e 38th ave, denver, co 80207, usa",orange
Huckleberry Roasters,L1,NA,Cafe,NA,NA,"4301 Pecos St Denver, CO 80211",Jack,N,NA,NA,NA,NA,NA,(866) 558-2201,NA,NA,NA,NA,NA,info@huckleberryroasters.com,NA,NA,NA,NA,NA,-105.006752,39.7754821,"4301 n pecos st, denver, co 80211, usa",orange
Jubilee Roasting Co.,L1,NA,Cafe,NA,NA,"1075 Park Ave W Denver, CO 80205",Jack,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-104.9867683,39.75442049999999,"1075 park ave w, denver, co 80205, usa",orange
Lekker,L1,18-Oct,Cafe,1,NA,"3460 Larimer St Denver, CO 80205",Eddy,Y,in-person,1,NA,B,2,(720) 833-1423,Tara,employee,NA,Kara,Owner,lekkercoffeerino@gmail.com,They has some premade pastries and burritos but said very little to no surplus,NA,NA,NA,NA,-104.9748554,39.7665057,"3460 larimer st, denver, co 80205, usa",orange
Pablo's Coffee,L1,18-Oct,Cafe,NA,NA,"1300 Pennsylvania St Denver, CO 80203",Eddy,Y,in person,1,NA,A,2,303) 744-3323,Forget for physical visit,NA,NA,NA,NA,Shop@pabloscoffee.com,We don't really gice out food on weekends. We don't work with anyone (email mark - talked with aaron)Email shop,NA,NA,NA,NA,-104.9806122,39.737084,"1300 pennsylvania st, denver, co 80203, usa",orange
Quince Coffee Shop,L2,NA,Cafe,NA,NA,"1447 Quince St Denver, CO 80220",Jack,N,NA,NA,NA,NA,NA,(303) 955-2479,NA,NA,NA,NA,NA,NA,TBH... we don't donate (nothign really goes to waste) Revisit in person,NA,NA,NA,NA,-104.9026362,39.7395661,"1447 quince st, denver, co 80220, usa",pink
Little finch,L1,18-Oct,Cafe,NA,NA,"1490 16th St Denver, CO 80202",Eddy,Y,in-person,1,NA,A,2,NA,Mary,employee,NA,NA,NA,NA,talked to mary the employee - same owner of Olive and FInch,NA,NA,NA,NA,-104.9991273,39.750343,"1490 16th st mall, denver, co 80202, usa",orange
Huckle Berry (milk Market),L1,17-Oct,Cafe,4,NA,"1800 Wazee St Denver, CO 80202",Jack,Y,Email,2,NA,A,2,NA,Collin,Employee,NA,Odalis,Manager,027ibarra@gmail.com,Collin gave Odali's (GM) email,NA,NA,NA,NA,-104.9968463,39.7532096,"1800 wazee st, denver, co 80202, usa",orange
Metropolis Coffee,L1,17-Oct,Cafe,4,NA,"300 W 11th Ave Denver, CO 80204",Jack,Y,Tetx box submission,2,NA,A,2,3035637021,Megan,Employee,NA,Brock,owner,NA (text box on website),Sent text box submission adressed to Brock through website as directed. (talked to Megan),NA,NA,NA,NA,-104.9918834,39.7335865,"300 w 11th ave, denver, co 80204, usa",orange
Moxie,L1,18-Oct,Cafe,NA,NA,"70 Broadway Denver, CO 80203",Jack,Y,In person,1,NA,A,2,(303) 524-9236,Marco,Employee,NA,NA,NA,NA,Talked to Marco (employee) while owner wasn't there. Passing it on to owner. Wasn't aloud to give out contact.,NA,NA,NA,NA,-104.987101,39.7178876,"70 broadway, denver, co 80203, usa",orange
Wonder,L2,18-Oct,Cafe,NA,NA,"1540 Platte St Denver, CO 80202",Eddy,Y,In person,2,NA,B,2,NA,Mckenna,Employee,NA,kayla,Manager,platte@wonderpress.co,"Talked to Mckenna, passing it on the Kayla. Interested and has 33% OFF shelf.",NA,NA,NA,NA,-105.0086894,39.7565976,"1540 platte st, denver, co 80202, usa",pink
Mutiny,lost,18-Oct,Cafe,NA,NA,"2 S Broadway Denver, CO 80209",Jack,Y,In person,1,NA,A,3,NA,NA,NA,NA,NA,NA,NA,Don't go there,NA,NA,NA,NA,-104.9871436,39.71641779999999,"2 s broadway, denver, co 80209, usa",red
